dipolemoment_boltz,dipolemoment_delta,dipolemoment_max,dipolemoment_min,dipolemoment_vburminconf,efgtens_xx_P_boltz,efgtens_yy_P_boltz,efgtens_zz_P_boltz,efg_amp_P_boltz,E_oxidation_boltz,E_reduction_boltz,E_solv_cds_boltz,E_solv_elstat_boltz,E_solv_total_boltz,fmo_eta_boltz,fmo_e_homo_boltz,fmo_e_lumo_boltz,fmo_mu_boltz,fmo_omega_boltz,fukui_m_boltz,fukui_p_boltz,nbo_bds_e_avg_boltz,nbo_bds_e_min_boltz,nbo_bds_occ_avg_boltz,nbo_bds_occ_max_boltz,nbo_bd_e_avg_boltz,nbo_bd_e_max_boltz,nbo_bd_occ_avg_boltz,nbo_bd_occ_min_boltz,nbo_lp_P_e_boltz,nbo_lp_P_occ_boltz,nbo_lp_P_percent_s_boltz,nbo_P_boltz,nbo_P_ra_boltz,nbo_P_rc_boltz,nmrtens_sxx_P_boltz,nmrtens_syy_P_boltz,nmrtens_szz_P_boltz,nmr_P_boltz,nuesp_P_boltz,Pint_dP_boltz,Pint_P_int_boltz,Pint_P_max_boltz,Pint_P_min_boltz,pyr_alpha_boltz,pyr_alpha_delta,pyr_alpha_max,pyr_alpha_min,pyr_alpha_vburminconf,pyr_P_boltz,pyr_P_delta,pyr_P_max,pyr_P_min,pyr_P_vburminconf,qpoletens_xx_boltz,qpoletens_xx_delta,qpoletens_xx_max,qpoletens_xx_min,qpoletens_xx_vburminconf,qpoletens_yy_boltz,qpoletens_yy_delta,qpoletens_yy_max,qpoletens_yy_min,qpoletens_yy_vburminconf,qpoletens_zz_boltz,qpoletens_zz_delta,qpoletens_zz_max,qpoletens_zz_min,qpoletens_zz_vburminconf,qpole_amp_boltz,qpole_amp_delta,qpole_amp_max,qpole_amp_min,qpole_amp_vburminconf,somo_ra_boltz,somo_rc_boltz,sphericity_boltz,spindens_P_ra_boltz,spindens_P_rc_boltz,sterimol_B1_boltz,sterimol_B1_delta,sterimol_B1_max,sterimol_B1_min,sterimol_B1_vburminconf,sterimol_B5_boltz,sterimol_B5_delta,sterimol_B5_max,sterimol_B5_min,sterimol_B5_vburminconf,sterimol_burB1_boltz,sterimol_burB1_delta,sterimol_burB1_max,sterimol_burB1_min,sterimol_burB1_vburminconf,sterimol_burB5_boltz,sterimol_burB5_delta,sterimol_burB5_max,sterimol_burB5_min,sterimol_burB5_vburminconf,sterimol_burL_boltz,sterimol_burL_delta,sterimol_burL_max,sterimol_burL_min,sterimol_burL_vburminconf,sterimol_L_boltz,sterimol_L_delta,sterimol_L_max,sterimol_L_min,sterimol_L_vburminconf,surface_area_boltz,vbur_far_vbur_boltz,vbur_far_vbur_delta,vbur_far_vbur_max,vbur_far_vbur_min,vbur_far_vbur_vburminconf,vbur_far_vtot_boltz,vbur_far_vtot_delta,vbur_far_vtot_max,vbur_far_vtot_min,vbur_far_vtot_vburminconf,vbur_max_delta_qvbur_boltz,vbur_max_delta_qvbur_delta,vbur_max_delta_qvbur_max,vbur_max_delta_qvbur_min,vbur_max_delta_qvbur_vburminconf,vbur_max_delta_qvtot_boltz,vbur_max_delta_qvtot_delta,vbur_max_delta_qvtot_max,vbur_max_delta_qvtot_min,vbur_max_delta_qvtot_vburminconf,vbur_near_vbur_boltz,vbur_near_vbur_delta,vbur_near_vbur_max,vbur_near_vbur_min,vbur_near_vbur_vburminconf,vbur_near_vtot_boltz,vbur_near_vtot_delta,vbur_near_vtot_max,vbur_near_vtot_min,vbur_near_vtot_vburminconf,vbur_ovbur_max_boltz,vbur_ovbur_max_delta,vbur_ovbur_max_max,vbur_ovbur_max_min,vbur_ovbur_max_vburminconf,vbur_ovbur_min_boltz,vbur_ovbur_min_delta,vbur_ovbur_min_max,vbur_ovbur_min_min,vbur_ovbur_min_vburminconf,vbur_ovtot_max_boltz,vbur_ovtot_max_delta,vbur_ovtot_max_max,vbur_ovtot_max_min,vbur_ovtot_max_vburminconf,vbur_ovtot_min_boltz,vbur_ovtot_min_delta,vbur_ovtot_min_max,vbur_ovtot_min_min,vbur_ovtot_min_vburminconf,vbur_qvbur_max_boltz,vbur_qvbur_max_delta,vbur_qvbur_max_max,vbur_qvbur_max_min,vbur_qvbur_max_vburminconf,vbur_qvbur_min_boltz,vbur_qvbur_min_delta,vbur_qvbur_min_max,vbur_qvbur_min_min,vbur_qvbur_min_vburminconf,vbur_qvtot_max_boltz,vbur_qvtot_max_delta,vbur_qvtot_max_max,vbur_qvtot_max_min,vbur_qvtot_max_vburminconf,vbur_qvtot_min_boltz,vbur_qvtot_min_delta,vbur_qvtot_min_max,vbur_qvtot_min_min,vbur_qvtot_min_vburminconf,vbur_ratio_vbur_vtot_boltz,vbur_vbur_boltz,vbur_vbur_delta,vbur_vbur_max,vbur_vbur_min,vbur_vbur_vburminconf,vbur_vtot_boltz,vmin_r_boltz,vmin_vmin_boltz,volume_boltz
0.8835417,1.1191872,1.956963,0.8461969,1.7285227,-0.8421646,-0.65058535,1.4680321,1.8147446,0.25452575,0.027974933,-6.550822,-6.573708,-12.628048,0.18513393,-0.20930262,-0.020315796,-0.1125399,0.031602647,0.24011792,0.029933164,0.21593994,0.19894524,0.04486836,0.050089467,-0.4541578,-0.45017573,1.951916,1.9484992,-0.30307603,1.9256656,50.118153,0.7655921,0.7803947,1.037533,288.6396,289.0908,317.91113,295.30093,-54.192944,3.965151,19.02132,33.62233,12.917044,19.0592,9.212069,26.265522,16.15228,24.082737,0.9033343,0.0840045,0.94580936,0.86638033,0.8827183,3.669682,2.3893478,5.4536467,1.7761552,4.3593693,0.1445405,3.0870712,2.074419,-1.5141269,0.44796196,-2.594602,3.6138062,-2.1030798,-5.584902,-5.600147,5.142948,4.699792,8.236774,3.142568,6.301202,0.071775064,-0.3673813,0.78763276,0.033247814,0.2964231,3.8533077,0.9962992,4.2287445,3.3275366,3.8541613,6.4770117,0.781334,7.024682,6.180258,6.767842,3.8045197,0.9777568,4.1646953,3.3038428,3.7694726,6.049068,0.50480175,6.80914,6.0781612,5.9848313,7.1123505,0.9571018,7.947736,6.7981076,7.654784,7.8727193,1.4537355,9.139688,7.264957,8.367673,330.16812,13.571612,13.090949,21.057566,2.4987762,1.7368407,18.947023,30.024248,29.162233,1.7815689,1.8847537,10.617249,12.611479,20.382723,4.809881,6.3281093,58.49314,39.80104,83.56243,39.95331,56.313606,67.644066,12.376317,70.189445,56.87984,58.081043,332.08972,24.170187,339.12943,299.41235,327.13947,21.44633,4.4971,21.429052,17.380585,17.397715,0.09884638,0.2688374,0.43303606,0.006372476,0.0074466113,114.11118,15.221116,122.4094,106.92259,112.39741,0.41548765,0.51609766,0.73176754,0.0059742937,0.0051559964,28.425835,13.342015,34.02149,19.771166,19.097202,13.03542,3.648176,14.841326,10.169973,11.366788,118.019264,23.838213,130.26524,106.04067,112.584785,47.506287,24.429283,60.50129,34.82928,50.962692,0.23304524,85.46886,27.869596,90.00184,59.53199,60.35557,330.02838,1.78361,-0.05506432,397.83853
3.6011012,2.7467573,3.848183,1.6531218,3.205452,-1.0711557,-0.4987677,1.5545299,1.887761,0.25678262,0.023704667,-4.816398,-9.268672,-15.162958,0.16664083,-0.21420331,-0.022736289,-0.119019836,0.042285547,0.21706304,-0.001391805,0.20498903,0.19689977,0.056669533,0.07285848,-0.44105905,-0.40222833,1.9269358,1.8667263,-0.29089,1.920374,48.206123,0.91786265,0.8705234,0.9807971,252.8286,266.97485,338.4106,250.08112,-54.19356,3.981717,20.015041,36.36371,12.033858,26.423067,2.7472596,25.46057,24.317251,23.734077,0.85847557,0.021641027,0.86422974,0.8765357,0.87071675,8.172057,12.46616,15.67699,3.6591523,11.892095,-1.7734163,4.9285994,1.0047349,-4.608367,-0.7095104,-7.6117826,9.132949,-4.9334035,-13.800336,-7.3719206,13.114789,14.651195,18.587002,6.095463,14.762437,0.058447465,-0.34877592,0.76898074,0.026469786,0.39655313,4.264528,0.47335875,4.195543,4.0075035,4.187594,7.7405763,0.89872104,9.288106,7.6939297,8.284036,4.2071195,0.22133572,4.2137337,3.998611,4.20579,6.3970356,0.3787568,7.224785,6.7006235,6.625805,6.89676,0.034320273,7.1292357,6.8211894,7.2731557,8.18346,1.6832899,10.103176,7.4287577,9.297633,394.79498,18.851627,10.144409,18.819191,10.115786,10.601335,86.010155,33.8441,69.84475,30.318352,29.487356,14.517372,4.086712,15.815518,11.820255,14.071653,92.38666,16.493845,166.5374,85.98278,102.20737,73.63813,1.2112482,74.19096,69.98844,68.31765,350.34286,29.849901,348.01978,335.63788,363.90375,20.641304,0.92591166,21.24391,22.069902,20.20478,0.36148125,1.7173728,1.4731655,0.0064449087,0.0075209206,152.16989,14.453841,192.67024,137.04305,163.49689,0.58093417,1.0857824,2.2734268,0.0061656456,0.0051559964,34.528217,5.6138816,32.753494,33.23517,28.466887,15.173452,2.9996169,16.099785,13.6273575,14.446582,205.00415,31.851397,192.15915,167.54785,182.74625,62.481194,18.69434,74.33578,51.756973,64.15111,0.22063093,98.10492,14.10612,102.83539,82.8013,77.53537,422.6622,1.8114736,-0.06504367,532.77014
3.0553417,1.971097,3.9363306,1.8656356,3.313282,-0.77599514,-0.68717545,1.5311992,1.8659352,0.27060005,-0.0066765137,-10.064752,-10.725661,-18.746279,0.17105865,-0.22635013,-0.04548331,-0.13310774,0.04736125,0.16351512,0.044870924,0.22134782,0.20960447,0.045861017,0.0523946,-0.49443904,-0.48346975,1.954493,1.9509256,-0.3138596,1.8916044,50.16383,0.7901804,0.8034734,1.0410594,256.2501,280.4478,328.16232,275.2251,-54.16888,4.506398,20.141014,36.019295,13.250902,17.869766,1.7115209,19.760592,17.19834,18.844706,0.92333776,0.011323887,0.9317864,0.9213829,0.92570174,8.554609,4.5412226,10.036902,5.643137,6.990469,1.9168794,3.053282,1.8777536,-0.4867642,0.81585354,-8.6163225,2.0236459,-8.117696,-9.811522,-8.813891,11.600031,4.5942554,12.948663,10.134626,12.209259,0.040607076,-0.36123598,0.7193951,0.037671477,0.10249373,4.40229,0.2713495,4.611485,4.2764826,4.8090024,7.5992293,0.6751708,8.97451,7.1477575,7.732744,4.274823,0.12097904,4.3371553,4.0956764,4.3125486,6.2738934,0.2924574,6.982773,6.1264987,6.5448694,7.099792,0.27729255,7.4483514,6.9220915,7.239313,8.446599,1.3933326,8.839915,7.771273,8.309833,404.1569,1.7767359,5.449,4.4970484,1.0963702,1.9689101,26.795252,4.5518847,18.828362,2.479436,2.3804884,8.425745,2.9207382,9.482854,5.967752,8.22307,69.5677,21.504862,83.35072,55.76919,79.398315,49.623253,2.1903183,49.99731,50.025337,51.96975,415.32385,1.5085151,416.14075,408.35196,389.37152,16.001778,1.3532482,15.692211,15.704911,14.816983,0.014123665,2.2402892,4.2996516,0.006372476,0.0074466113,145.09554,11.702709,146.44675,131.69794,138.08145,0.21730354,1.5058806,1.7395446,0.005989834,0.0051559964,18.741257,2.6180534,20.14085,14.877452,19.60484,11.434871,3.6341956,15.8026905,10.744903,11.05182,174.79999,6.495068,161.11166,155.62633,154.7238,63.73952,2.9510179,64.05198,59.4884,68.791695,0.13435136,53.22665,4.2354507,55.676205,57.144627,60.378136,432.63916,1.8693098,-0.043979008,478.095
1.4009218,0.40307766,1.6878625,1.3692962,1.8628201,-0.74570817,-0.68000835,1.4424145,1.7778552,0.24697793,0.015395752,-9.870118,-8.189366,-16.918728,0.18257162,-0.22003515,-0.026843634,-0.12692796,0.041100353,0.3711445,0.030323485,0.22584455,0.2174045,0.03743705,0.038553845,-0.47462544,-0.47856188,1.9520909,1.9430299,-0.30340132,1.8963852,49.00179,0.80658144,0.73686725,1.0222752,280.44626,290.33136,332.2473,294.18964,-54.17438,4.316686,20.023756,35.95547,12.837684,18.813549,-0.9037104,18.508045,19.406109,19.604284,0.9296903,-0.006901895,0.923938,0.9291556,0.9212198,7.2874527,0.72702676,6.6991878,5.285824,6.530874,0.69844985,0.1955282,1.7092174,0.1913676,0.4454338,-6.600298,1.6119466,-5.6157484,-8.0251465,-9.098618,12.762446,2.061783,12.291168,9.041048,10.228938,0.057597816,-0.3673507,0.7481425,0.060443264,0.39733353,4.30578,0.46908283,4.172571,4.283585,4.3092666,8.3132305,0.2784564,8.7188635,7.4757338,8.226445,4.214683,0.1486999,4.2210603,4.1327333,4.2346563,6.3361397,0.46278122,6.5886836,6.371852,6.099545,6.8737235,0.17733285,6.948371,6.842335,7.000165,7.629415,1.0247501,7.976827,7.1406827,7.9027224,358.0801,8.418325,1.5941764,-0.61168844,2.8029737,4.5542455,27.409286,0.32707357,1.5215644,23.921827,20.41287,3.67155,1.9416507,3.1092126,5.2279797,3.6709883,97.80298,6.236526,91.11192,118.32572,114.23706,54.647762,0.47441438,50.774387,51.81536,52.749924,312.33514,4.2561474,373.47232,376.08795,370.03668,14.617186,0.2946569,14.312053,14.188436,15.087287,0.0009475537,-0.053931892,-0.050610416,0.0054286183,0.0073727346,143.56314,5.3964114,142.35988,166.20535,153.08577,0.083004504,0.12859541,0.14223927,0.005978696,0.0051559964,19.373756,1.0575339,15.188698,17.76853,18.667252,11.292973,0.25993788,11.374299,11.231303,11.439258,155.98528,2.443338,172.12357,155.64651,187.4149,59.562958,0.6926805,60.5558,59.636036,58.711777,0.1335483,56.86221,2.1152198,50.598984,55.789635,56.78434,402.7094,1.8442317,-0.047623307,435.073
2.3778236,1.9562397,3.396032,1.0600367,2.5504713,-0.8068051,-0.71378845,1.5251722,1.8788761,0.25154564,0.021993931,-5.5985413,-11.355843,-15.663389,0.1868115,-0.20802757,-0.019444508,-0.1144758,0.035714734,0.3494424,0.050362892,0.24302648,0.23280562,0.043701097,0.044611804,-0.46890604,-0.46680695,1.9509538,1.9500026,-0.29041424,1.8833832,48.734615,0.8247109,0.7678674,1.244446,320.2254,330.49466,356.3173,345.6465,-54.190617,4.607152,19.969564,38.125618,13.155775,19.803982,4.7096806,23.648033,19.945116,22.166956,0.91875124,0.035750587,0.91104907,0.890111,0.90158075,9.191572,8.267796,11.599134,5.3593383,9.007643,-0.7547556,8.599248,2.0158212,-4.505437,0.07631071,-7.8217807,5.63112,-4.355013,-10.26291,-8.991704,14.044533,8.752116,15.299359,6.8561697,13.677972,0.064888425,-0.3480825,0.7278533,0.03782698,0.46010506,4.6296763,0.4302477,4.7617364,4.36393,4.874013,6.658751,0.28851372,6.8883147,6.415554,6.861465,4.4460526,0.48829123,4.6724987,4.2880545,4.6288595,6.1469154,0.11922666,6.337797,6.0877604,6.2063947,7.080721,0.78366125,7.7816057,6.9916697,7.5239954,8.01774,1.4274358,8.558703,7.8713536,8.616526,404.87143,5.4137006,5.65336,8.125105,2.8178518,2.24683,12.461424,11.4630375,19.59517,5.0655513,6.135867,10.145476,11.535456,14.312688,5.8193026,8.43149,48.397243,39.936768,64.46954,30.896393,44.094414,68.644295,6.900983,70.83883,59.486393,58.64213,380.72913,11.0220785,400.85205,388.03143,398.6802,19.511276,2.4010365,20.619371,17.841234,19.896751,0.022099992,0.37770665,0.2885036,0.019705594,0.010944161,117.7378,11.342961,121.29416,109.832985,112.76861,0.10725047,0.5294498,0.7519406,0.033656597,0.0051559964,24.359072,8.370279,29.549047,20.673544,21.483677,13.327761,2.9739094,14.325026,11.055004,11.115655,122.65717,12.276672,127.60167,118.17284,118.66083,70.79035,21.429277,85.556816,61.167088,80.247375,0.18839842,69.062454,14.233463,79.12521,62.4005,58.683,423.0792,1.8433795,-0.066001944,467.38104
2.9973288,1.2736102,3.1084313,2.6774025,3.1381414,-0.8145328,-0.6889392,1.499393,1.850925,0.23801433,0.028306019,-7.3062224,-12.135593,-17.910442,0.1721606,-0.20733674,-0.018694576,-0.11624672,0.033713825,0.3973055,0.03194384,0.2376659,0.22920103,0.038659815,0.042762157,-0.4612141,-0.46709314,1.9509709,1.9405476,-0.28482047,1.877175,48.870975,0.82482994,0.75943863,1.0601463,284.74924,308.52704,362.16095,318.67993,-54.18702,4.6826434,20.174782,37.259735,12.52362,22.51773,1.4618055,22.882025,20.803095,20.652187,0.88579464,0.014637913,0.9063088,0.89872885,0.9100265,10.566746,5.334541,11.359825,7.8663263,10.0286665,-0.09162457,2.916293,1.9015083,-2.932421,0.10646736,-9.702008,4.197598,-5.7261734,-11.987267,-12.289962,17.11466,5.487134,16.186203,12.602187,15.94354,0.06685841,-0.34118077,0.7137793,0.05555037,0.41227382,4.937152,0.48468187,4.865626,4.551804,4.919745,8.20485,0.29960233,8.310996,7.543772,8.340747,4.4258084,0.22834858,4.6489263,4.2753153,4.5530267,6.430471,0.43820533,6.730333,6.497488,6.1612177,7.044768,0.27563098,7.252468,6.931625,7.283594,8.346712,1.1534584,8.554485,8.560314,8.734814,435.29388,8.891213,3.4970992,6.3071284,4.6026154,5.448715,38.93337,7.1779647,19.545021,28.037401,24.870358,17.30221,6.4877734,14.802804,10.039973,13.856972,109.0314,28.375383,114.72394,129.29485,118.89413,62.56426,4.5260434,61.38907,61.459984,62.1989,376.61252,12.602532,445.35327,428.6781,432.27042,20.207483,1.774511,21.00991,18.979795,19.855629,0.0020265006,0.027155966,0.04346991,0.0030435307,0.007345526,162.19604,9.385846,158.13333,168.77567,162.72762,0.10061749,0.11679141,0.14223927,0.0055816155,0.002588697,28.58504,5.6002207,29.216194,24.6294,26.237535,11.532432,0.6147647,11.58252,11.144047,11.332375,186.68736,8.973153,183.3993,168.51395,200.95216,73.04383,5.486535,81.70022,69.917786,70.7113,0.1359624,70.35419,10.793271,70.14837,66.75642,67.171394,467.29904,1.8452758,-0.067202315,503.7184
3.534176,2.6651597,3.8445253,1.7105919,4.293831,-1.1348822,-0.55581456,1.5777104,1.9649835,0.25990424,0.0049425904,-6.4386215,-10.495483,-19.164633,0.18106863,-0.21622002,-0.024895532,-0.12049482,0.041042075,0.17872454,0.07011619,0.20261694,0.16338585,0.06580966,0.09722168,-0.4885413,-0.45894676,1.9523605,1.9431748,-0.3062846,1.9199203,53.5826,0.91495633,0.79309875,1.0487859,209.15536,287.41135,350.7577,280.04565,-54.161934,4.4966817,20.454844,36.20184,13.041914,18.325623,3.8294148,23.129396,16.817078,20.565897,0.9321962,0.028045218,0.91323954,0.8950152,0.91679746,10.076387,8.023536,14.524237,6.0457997,9.876691,-0.44375646,6.3588686,1.7025325,-2.046185,-0.026243433,-8.02911,6.937513,-6.1770735,-11.881947,-8.357722,14.20374,10.426524,15.258047,8.180694,16.362494,0.050758597,-0.3364557,0.71119124,0.051281467,0.16015083,4.3116374,0.44622624,4.817896,3.999192,4.492266,7.5501614,0.6787357,9.639433,6.292694,7.818439,4.1238585,0.6184396,4.6957803,3.963753,4.3704414,6.74241,0.9042442,7.1644454,6.623958,6.920913,7.352474,0.64089626,7.752946,7.109558,7.330078,8.902179,1.6416107,9.429644,7.7063828,9.087433,421.74042,12.240082,6.2186956,25.248274,2.7179143,2.545487,47.088684,12.913485,87.67051,5.6579137,6.113382,14.727468,7.627869,17.838644,8.572759,12.864218,121.76033,43.190426,123.77797,74.350136,111.45698,63.618626,6.372312,69.055695,61.735558,63.397392,497.03223,9.7427,465.06717,373.0759,397.58002,21.216167,2.4681332,20.772066,18.261509,19.88081,0.017797617,1.1226186,0.9013011,0.005804092,0.0074194027,167.93867,26.021046,179.35986,141.43353,163.745,0.3076974,0.5003196,0.7197137,0.005735058,0.0051559964,26.858105,9.724109,30.547527,22.470737,23.774445,12.226029,2.8411293,14.385405,10.2486315,10.787915,199.58798,30.16866,190.7249,160.52034,195.038,63.73678,20.427797,73.93225,52.98352,72.25304,0.17121452,74.166466,13.540839,85.01118,65.992516,67.04095,422.75055,1.8763835,-0.059369,557.2725
1.4009218,0.40307766,1.6878625,1.3692962,1.8628201,-0.74570817,-0.68000835,1.4424145,1.7778552,0.24697793,0.015395752,-9.870118,-8.189366,-16.918728,0.18257162,-0.22003515,-0.026843634,-0.12692796,0.041100353,0.3711445,0.030323485,0.22584455,0.2174045,0.03743705,0.038553845,-0.47462544,-0.47856188,1.9520909,1.9430299,-0.30340132,1.8963852,49.00179,0.80658144,0.73686725,1.0222752,280.44626,290.33136,332.2473,294.18964,-54.17438,4.316686,20.023756,35.95547,12.837684,18.813549,-0.9037104,18.508045,19.406109,19.604284,0.9296903,-0.006901895,0.923938,0.9291556,0.9212198,7.2874527,0.72702676,6.6991878,5.285824,6.530874,0.69844985,0.1955282,1.7092174,0.1913676,0.4454338,-6.600298,1.6119466,-5.6157484,-8.0251465,-9.098618,12.762446,2.061783,12.291168,9.041048,10.228938,0.057597816,-0.3673507,0.7481425,0.060443264,0.39733353,4.30578,0.46908283,4.172571,4.283585,4.3092666,8.3132305,0.2784564,8.7188635,7.4757338,8.226445,4.214683,0.1486999,4.2210603,4.1327333,4.2346563,6.3361397,0.46278122,6.5886836,6.371852,6.099545,6.8737235,0.17733285,6.948371,6.842335,7.000165,7.629415,1.0247501,7.976827,7.1406827,7.9027224,358.0801,8.418325,1.5941764,-0.61168844,2.8029737,4.5542455,27.409286,0.32707357,1.5215644,23.921827,20.41287,3.67155,1.9416507,3.1092126,5.2279797,3.6709883,97.80298,6.236526,91.11192,118.32572,114.23706,54.647762,0.47441438,50.774387,51.81536,52.749924,312.33514,4.2561474,373.47232,376.08795,370.03668,14.617186,0.2946569,14.312053,14.188436,15.087287,0.0009475537,-0.053931892,-0.050610416,0.0054286183,0.0073727346,143.56314,5.3964114,142.35988,166.20535,153.08577,0.083004504,0.12859541,0.14223927,0.005978696,0.0051559964,19.373756,1.0575339,15.188698,17.76853,18.667252,11.292973,0.25993788,11.374299,11.231303,11.439258,155.98528,2.443338,172.12357,155.64651,187.4149,59.562958,0.6926805,60.5558,59.636036,58.711777,0.1335483,56.86221,2.1152198,50.598984,55.789635,56.78434,402.7094,1.8442317,-0.047623307,435.073
2.6555045,2.5907168,4.4791527,1.5188053,3.4428692,-0.8576434,-0.701512,1.549347,1.9275051,0.23076859,0.014556234,-8.8038225,-12.589925,-22.116812,0.1746684,-0.19164304,-0.022984656,-0.11797181,0.038957357,0.1943411,0.05610295,0.2256861,0.2104223,0.047959715,0.054447133,-0.49249026,-0.47743908,1.9485983,1.949338,-0.3022256,1.8748082,48.0728,0.9028375,0.7768905,1.0326388,341.29755,315.2854,352.58447,308.034,-54.167927,4.837197,21.002762,42.819473,13.398222,23.51253,5.1783175,27.77685,20.456375,23.35465,0.8529064,0.067076705,0.9008682,0.84013355,0.87798864,8.869153,9.963054,16.4903,5.548347,11.056241,0.7179229,6.555589,1.955344,-3.6998358,-0.09273797,-8.72498,6.440081,-4.843855,-12.940866,-9.394447,11.733713,11.143397,18.915174,6.2474475,16.764465,0.05676541,-0.3321381,0.7211506,0.042780496,0.13609514,5.145542,0.9882864,5.500848,4.4739494,5.0731864,7.0471096,0.7290833,8.018361,6.9377046,7.5349708,4.5907755,0.87211055,5.3367047,4.2660646,4.9684973,6.4366107,0.8595819,6.4936686,6.163694,7.1288943,7.3236227,0.9650571,7.530463,6.983191,7.467839,9.011578,1.1754162,9.8681965,8.335635,8.45068,499.00354,18.60202,20.489628,35.1125,4.3350186,4.733109,71.39768,35.88392,87.543144,28.676218,30.747734,20.778303,13.146578,19.370737,9.326553,12.744617,106.97254,89.24439,160.37306,41.821106,108.58142,73.87267,12.697855,80.53058,67.13707,68.33659,572.4963,43.998535,584.82367,444.73154,501.78522,20.174786,2.5929422,22.18971,19.628063,20.742586,0.03244436,2.2300253,1.262863,0.0023470991,0.0074558984,168.93979,33.690197,161.90022,119.404305,179.15036,0.2180061,0.6848209,1.1026225,0.07670989,0.0051920833,36.724148,12.393404,43.755173,24.511501,26.523132,14.146346,5.7988124,16.795786,11.16125,11.82565,251.4878,29.421125,208.53673,151.62901,215.37578,96.08883,49.384422,135.05139,64.92674,102.1908,0.14647989,100.480064,29.287838,120.57034,74.77095,73.120575,613.35504,1.8294518,-0.055822432,705.4338
1.5016406,0.76213866,2.144706,1.4595854,2.345785,-0.770997,-0.7132448,1.4976087,1.8582484,0.2526824,0.017556982,-7.284485,-7.7183986,-15.514079,0.17630468,-0.20557976,-0.02789189,-0.11940365,0.040421646,0.16113098,0.09061934,0.23473455,0.23235446,0.040006172,0.044987936,-0.47073913,-0.4694512,1.9513903,1.9493257,-0.29386893,1.8864596,48.574966,0.87712145,0.79157513,1.0223167,275.47763,298.20975,335.28796,306.4088,-54.183247,4.4040585,20.094177,36.25361,13.2543335,20.664667,3.109733,23.918491,21.63019,22.218992,0.9097178,0.033879172,0.9188926,0.8876395,0.8947008,5.1825542,1.2121162,5.7943077,3.7811615,4.960793,0.41053954,1.1655356,1.4459498,-1.1416403,0.4599113,-5.2951593,1.6927449,-4.13026,-7.153111,-6.2584257,7.1632156,2.7588508,10.410724,6.5553255,9.086429,0.057943307,-0.35222512,0.74953294,0.06843138,0.21561962,4.508378,0.16834956,4.5380697,4.465894,4.4912624,6.672286,0.50701964,7.0422397,6.5295806,6.7998614,4.3873334,0.09859915,4.4206386,4.4424877,4.4101224,6.108568,0.31393582,6.4284964,6.2339506,6.250301,7.4466324,0.23771568,7.4257417,7.361096,7.4094357,8.263785,0.55414665,8.379229,7.9476676,8.242411,376.18927,12.046645,4.985849,13.542454,2.1804235,2.9139252,7.2753263,7.810016,11.169327,5.118654,4.6614575,14.495033,3.9423,15.611773,9.971852,9.365216,50.434696,3.4328494,68.34629,45.22108,48.764565,59.63644,4.4115953,61.016453,58.11356,57.044514,358.89682,3.5423954,368.88208,367.92764,363.7003,20.182203,0.789975,20.94558,19.934454,18.450874,0.0009475537,-0.065204725,0.038202263,0.0063474486,0.0074194027,116.54608,3.916965,101.97992,117.4556,112.469666,0.12339628,0.12483983,0.14223927,0.0058004903,0.0051559964,30.72227,4.9718757,28.65382,24.633615,22.256388,11.234707,0.6839908,11.877942,11.160859,11.604796,120.14943,6.0529075,130.26717,123.72215,118.95863,63.551456,-0.03206034,64.94294,62.08324,66.22197,0.18328463,79.04865,9.235472,71.17172,63.445145,63.30144,379.05136,1.8471235,-0.05091543,446.2743
