SMILES,vbur_far_vtot_boltz
P(c1ccccc1N(C)C)(C(C)C)(c1ccccc1N(C)C),18.947023
COC1=CC=C(N2C(P(C(C)(C)C)C(C)(C)C)=CC=N2)C(OC)=C1,86.010155
P(c1ccccc1)(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1ccccc1),26.795252
P(c1ccccc1)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1ccccc1),27.409286
P(c1c(OC)cccc1OC)(c1ccccc1C)(c1c(OC)cccc1OC),12.461424
P(c1c(OC)cccc1OC)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1c(OC)cccc1OC),38.93337
P(c1c(OC)cccc1OC)(n1nc(-c2ccccc2)cc1-c1ccccc1)(c1c(OC)cccc1OC),47.088684
P(c1ccccc1)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1ccccc1),27.409286
P(c1c(OC(C)C)cccc1OC(C)C)(c1nn(-c2ccccc2)cc1)(c1c(OC(C)C)cccc1OC(C)C),71.39768
P(c1ccccc1)(c1c(N(C)C)cccc1N(C)C)(c1ccccc1),7.2753263
P(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(c1ccccc1N(C)C)(c1nn(-c2ccccc2)c(-c2ccccc2)c1),66.78093
P(c1ccccc1N1CCCCC1)(c1ccccc1N(C)C)(c1ccccc1N1CCCCC1),65.767075
P(c1c(OC(C)C)cccc1OC(C)C)(c1ccccc1N(C)C)(c1c(OC(C)C)cccc1OC(C)C),52.339546
P(c1nn(-c2ccccc2)c(-c2ccccc2)c1)(C(C)C)(c1nn(-c2ccccc2)c(-c2ccccc2)c1),40.247383
P(c1ccccc1)(c1c(N(C)C)cccc1N(C)C)(c1ccccc1),7.2753263
P(c1ccccc1)(c1ccccc1)(c1ccccc1),-0.5094065
P(N1CCCCC1)(C(C)C)(N1CCCCC1),13.656076
P(c1c(OC)cccc1OC)(c1ccccc1N(C)C)(c1c(OC)cccc1OC),32.751953
P(c1c(OC)cccc1OC)(c1nn(-c2ccccc2)cc1)(c1c(OC)cccc1OC),29.331926
P(c1ccccc1)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1ccccc1),21.083197
P(c1c(N(C)C)cccc1N(C)C)(c1c(OCC)cccc1OCC)(c1c(N(C)C)cccc1N(C)C),32.62884
P(c1ccccc1C)(c1nn(-c2ccccc2)cc1)(c1ccccc1C),45.050457
P(c1cccc(OC(C)C)c1)(N1CCCCC1)(c1cccc(OC(C)C)c1),24.05917
P(c1ccccc1)(c1c2ccccc2cc2ccccc12)(c1ccccc1),29.642311
P(c1c(OC)cccc1OC)(N1CCCCC1)(c1c(OC)cccc1OC),22.793339
P(c1cccc(OC(C)C)c1)(c1c2ccccc2cc2ccccc12)(c1cccc(OC(C)C)c1),31.5547
P(c1ccccc1)(C(C)C)(c1ccccc1),2.337424
P(c1ccccc1)(c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2cccn2)cc1)(c1ccccc1),26.567858
P(c1nn(-c2ccccc2)cc1)(c1ccc(C2(c3ccccc3)CC2)cc1)(c1nn(-c2ccccc2)cc1),35.051
P(c1ccc(-c2ccccc2)cc1)(c1ccncc1)(c1ccc(-c2ccccc2)cc1),-0.44182375
P(c1ccccc1N1CCCCC1)(C(C)C)(c1ccccc1N1CCCCC1),73.899666
P(c1c(OC(C)C)cccc1OC(C)C)(c1c(N(C)C)cccc1N(C)C)(c1c(OC(C)C)cccc1OC(C)C),54.931202
P(c1ccccc1)(c1ccccc1N1CCCCC1)(c1ccccc1),39.204758
P(c1ccccc1)(c1ccncc1)(c1ccccc1),-0.5220973
P(c1ccccc1)(C(C)C)(c1ccccc1),2.337424
P(c1ccncc1)(c1ccccc1N(C)C)(c1ccncc1),30.498793
P(N1CCCCC1)(c1ccc(C2(c3ccccc3)CC2)cc1)(N1CCCCC1),18.524725
P(c1ccccc1N1CCCCC1)(c1ccccc1C)(c1ccccc1N1CCCCC1),40.29549
P(c1ccccc1)(c1cccc(OC(C)C)c1)(c1ccccc1),2.885102
P(c1ccc(N(C)C)cc1N(C)C)(c1c(-c2ccccc2)nn(-c2ccccc2)c1)(c1ccc(N(C)C)cc1N(C)C),24.518188
P(c1ccccc1)(n1nc(-c2ccccc2)cc1-c1ccccc1)(c1ccccc1),25.349787
